problem,cost_function,qubits,layers,entanglement,seed,test_accuracy,summary_path,image_path
crown,fidelity_chi,2,5,entangled,30,0.88025000,fidelity_chi/crown/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,5,not_entangled,30,0.90925000,fidelity_chi/crown/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,1,5,not_entangled,30,0.82625000,weighted_fidelity_chi/crown/1_qubits/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/1_qubits/5_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,5,entangled,30,0.95225000,weighted_fidelity_chi/crown/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,5,not_entangled,30,0.97250000,weighted_fidelity_chi/crown/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,5,entangled,30,0.94800000,weighted_fidelity_chi/crown/4_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,5,not_entangled,30,0.96700000,weighted_fidelity_chi/crown/4_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,1,6,not_entangled,30,0.90450000,fidelity_chi/crown/1_qubits/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/1_qubits/6_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,6,entangled,30,0.92600000,fidelity_chi/crown/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,6,not_entangled,30,0.93250000,fidelity_chi/crown/2_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,1,6,not_entangled,30,0.92900000,weighted_fidelity_chi/crown/1_qubits/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/1_qubits/6_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,6,entangled,30,0.94800000,weighted_fidelity_chi/crown/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30.png
